regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,8,0,sim_study1_near_sub66,203,45.785652827341664,570.6160505127117
lazy_50,8,0,sim_study1_near_sub72,372,403.9490757533612,1609.1920912784665
lazy_50,8,0,sim_study2_near_sub38,128,135.57212398643554,7185.746641188382
lazy_50,8,0,sim_study2_near_sub12,149,167.37067230816578,1487.3076482501524
lazy_50,8,0,sim_study1_near_sub70,169,188.76400160222835,3349.7341715886314
lazy_50,8,0,sim_study1_near_sub58,240,787.6029716311424,5132.317395218464
lazy_50,8,0,sim_study1_near_sub7,185,0.0,1112.3942912755176
lazy_50,8,0,sim_study2_near_sub2,150,547.7666041495065,1165.5282737321859
lazy_50,8,0,sim_study1_near_sub6,198,279.9847015575448,1040.8368278092864
lazy_50,8,0,sim_study1_near_sub59,146,11.518070096663028,1387.2848951157048
lazy_50,8,0,sim_study1_near_sub71,114,148.7430926311466,0.006744363838030648
lazy_50,8,0,sim_study2_near_sub75,215,0.0,1340.1478000516659
lazy_50,8,0,sim_study2_near_sub61,118,673.9681887184174,1694.2310304356488
lazy_50,8,0,sim_study2_near_sub63,138,556.9367115533319,4429.114210376815
lazy_50,8,0,sim_study1_near_sub29,127,166.03275799787963,2568.9036287464305
lazy_50,8,0,sim_study1_near_sub15,318,233.12880345937492,1920.714277950422
lazy_50,8,0,sim_study1_near_sub14,296,0.0,457.6176502629678
lazy_50,8,0,sim_study1_near_sub28,485,0.0,153.1377860245466
lazy_50,8,0,sim_study2_near_sub72,468,480.6446472902547,643.8628790780646
lazy_50,8,0,sim_study2_near_sub66,424,0.0,938.422411628485
lazy_50,8,0,sim_study1_near_sub10,104,31.803468316839513,0.06942855975503333
lazy_50,8,0,sim_study1_near_sub38,213,1020.292132286732,5872.917716377904
lazy_50,8,0,sim_study1_near_sub39,232,78.43480583145761,1412.132381196107
lazy_50,8,0,sim_study2_near_sub73,289,557.1525013937073,2606.924947209784
lazy_50,8,0,sim_study2_near_sub65,272,0.0,1336.4529291663796
lazy_50,8,0,sim_study2_near_sub71,276,480.04328420025024,1042.001966010395
